perfume,casual,chic,classic,clear,cool-casual,dandy,dynamic,elegant,gorgeous,modern,natural,pretty,romantic,wild
04 Wish You Were Here Memoire Archives Memoire Archives,0,1,0,0,0,1,0,0,0,0,1,0,0,0
05 Incense Extreme Tauer Perfumes Tauer Perfumes,1,1,1,1,0,0,1,1,1,1,1,1,1,1
06 Amanu Odin Odin,1,1,1,1,0,0,1,1,1,0,1,1,1,1
06 Black Platinum Banana Republic Banana Republic,1,1,1,1,0,0,1,1,1,1,1,1,1,1
06 Incense Rose Tauer Perfumes Tauer Perfumes,1,1,1,1,0,0,1,1,1,1,1,1,1,1
07 Tanoke Odin Odin,1,1,1,1,0,0,1,1,0,1,1,0,0,1
07738 Bogue Bogue,1,1,1,1,1,0,1,1,1,1,1,1,1,1
08 Une Rose Chypree Tauer Perfumes Tauer Perfumes,1,1,1,1,0,0,1,1,0,1,1,1,1,1
09 Fico D'India Salentum I Profumi Salentum I Profumi,1,1,1,1,0,0,1,1,1,0,1,1,1,0
09 Orange Star Tauer Perfumes Tauer Perfumes,1,0,1,1,0,0,1,1,1,1,0,1,1,1
1 Jousset Parfums Jousset Parfums,1,1,1,1,1,0,0,1,1,1,1,1,0,0
1 Million $ Paco Rabanne Paco Rabanne,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1 Million Elixir Paco Rabanne Paco Rabanne,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1 Million Golden Oud Paco Rabanne Paco Rabanne,1,1,1,1,0,0,1,1,1,1,1,0,0,1
1 Million Lucky Paco Rabanne Paco Rabanne,1,1,1,1,0,1,1,0,0,0,1,1,1,1
1 Million Paco Rabanne Paco Rabanne,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1 Million Prive Paco Rabanne Paco Rabanne,0,1,1,1,0,0,0,1,0,1,1,0,0,1
1 Million Royal Paco Rabanne Paco Rabanne,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1# nota di viaggio (rites de passage) Meo Fusciuni Meo Fusciuni,1,1,1,1,0,0,1,1,0,1,1,1,1,1
"1,000 Lilies DSH Perfumes DSH Perfumes",1,1,1,1,0,1,1,1,1,1,1,1,1,1
100 Trish McEvoy Trish McEvoy,1,1,1,0,0,0,1,1,1,1,1,1,1,1
100% Chilled Cosmopolitan Cosmopolitan,1,1,1,1,0,0,1,1,1,0,1,1,1,1
100% Love S-Perfume S-Perfume,1,1,0,1,0,0,0,1,1,0,1,1,0,1
100% Pure Chipie Purple Chipie Chipie,1,0,0,0,0,0,0,1,0,0,1,1,1,0
1000 Kisses Lush Lush,1,1,1,1,0,0,1,1,0,1,1,1,1,1
1001 Night Arabian Oud Arabian Oud,1,1,1,1,0,0,1,1,0,1,1,1,1,0
1001 Nobile 1942 Nobile 1942,1,1,1,1,0,0,1,1,1,1,1,1,1,1
101 Clementine & Violet Flower N.C.P. Olfactives N.C.P. Olfactives,1,0,1,1,1,0,1,1,1,1,0,0,0,1
101 Odoratika Odoratika,1,1,1,1,1,1,1,1,1,0,1,1,1,1
103 ScentBar ScentBar,1,1,1,0,0,1,1,1,1,1,1,1,1,1
106 This Is Happiness Stradivarius Stradivarius,1,0,1,1,0,0,1,0,0,0,0,1,1,0
"106 damascena rose, davana, vanilla Bon Parfumeur Bon Parfumeur",0,0,1,1,1,0,0,1,1,1,0,0,0,1
107 ScentBar ScentBar,1,1,1,1,0,0,1,1,1,1,1,1,1,1
109 ScentBar ScentBar,1,0,1,0,0,0,0,1,0,1,0,1,1,0
10:10 AM in Sicilia Kenzo Kenzo,1,1,1,1,0,0,1,1,0,0,1,1,1,0
10th Avenue Femme 10th Avenue Karl Antony 10th Avenue Karl Antony,1,1,1,1,0,0,1,1,1,0,1,1,1,1
11 11 Lake & Skye Lake & Skye,0,1,0,0,0,0,0,0,0,0,1,0,0,1
11 Candles In Antwerpen Freddie Albrighton Freddie Albrighton,0,1,1,0,0,0,1,1,1,1,1,1,1,1
11 PM Cinnamon Projects Cinnamon Projects,0,1,1,0,0,0,1,1,1,1,1,1,1,0
11.0 Zara Zara Zara,1,1,1,1,0,0,1,1,1,1,1,1,1,1
11:11 FreeShape Milano FreeShape Milano,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11:11 pm NIVIRU NIVIRU,1,0,1,1,0,0,1,1,1,1,1,1,1,1
1200¡ÆC L'Bel L'Bel,1,1,1,1,0,0,1,1,1,1,1,0,0,1
1270 Extreme Frapin Frapin,1,1,1,1,0,0,1,1,0,1,1,1,1,0
1270 Frapin Frapin,1,1,1,1,0,1,1,1,0,1,1,1,1,0
139 Spice Michael Malul London Michael Malul London,1,1,1,1,0,0,1,1,1,0,1,1,1,0
13e Fee Les Contes Les Contes,1,1,1,1,0,0,1,1,1,0,1,1,1,1
1447 All Red Royal Toad Royal Toad,1,0,1,0,0,0,0,1,1,1,1,1,0,1
1472 La Divina Commedia Histoires de Parfums Histoires de Parfums,0,1,1,1,1,1,1,1,1,1,1,1,1,1
1500 - L'Essence de Distance YVRA YVRA,1,1,1,1,1,0,1,1,1,1,1,1,1,1
16 Midnight Fire Jardin de Parfums Jardin de Parfums,1,1,1,1,0,0,1,1,0,1,1,1,1,1
1614 Atelier Bloem Atelier Bloem,1,1,1,1,0,0,1,1,1,0,1,1,1,1
1697 Frapin Frapin,1,1,1,1,1,1,1,1,1,1,1,1,1,1
173 Candy Michael Malul London Michael Malul London,1,1,1,1,0,0,1,1,1,1,1,1,1,1
18 Amber Wood Profile Profile,1,1,1,1,0,0,1,1,0,1,1,1,1,0
18 Orchid Perry Ellis Perry Ellis,1,0,1,1,0,0,1,1,1,1,1,1,1,0
18 Perry Ellis Perry Ellis,1,1,1,0,0,1,1,1,1,0,1,1,1,0
1804 Histoires de Parfums Histoires de Parfums,1,1,1,0,0,0,0,1,1,1,1,1,1,1
1804 La Louisiane Cristian Brinck Cristian Brinck,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1848! Brera6 Perfumes Brera6 Perfumes,0,1,1,1,1,1,1,1,1,0,1,1,1,1
1869 Eau de Parfum Acca Kappa Acca Kappa,0,1,1,0,0,0,1,1,1,1,1,1,1,1
1872 Basil Clive Christian Clive Christian,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1872 Twist Acacia Clive Christian Clive Christian,0,1,1,0,0,0,1,1,1,1,1,1,1,0
1873 Histoires de Parfums Histoires de Parfums,1,0,1,1,0,0,1,1,1,1,0,1,1,1
1875 Carmen Bizet Absolu EdP Histoires de Parfums Histoires de Parfums,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1876 Histoires de Parfums Histoires de Parfums,1,1,1,1,0,0,1,1,1,1,1,1,1,1
1881 Acqua Forte Cerruti Cerruti,1,1,1,1,1,0,1,1,1,1,1,0,0,0
1881 Cerruti Cerruti,1,1,1,1,0,0,1,1,1,1,1,1,1,1
1881 Silver Cerruti Cerruti,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1888 Xerjoff Xerjoff,1,1,1,1,0,0,1,1,1,1,1,1,1,0
1889 Moulin Rouge Histoires de Parfums Histoires de Parfums,1,1,1,1,0,0,1,1,1,1,1,1,1,1
1899 Malay Perfumery Malay Perfumery,1,0,1,0,0,0,1,1,1,0,1,1,1,0
19 The Fragrance Kitchen The Fragrance Kitchen,1,1,1,1,0,0,1,1,1,1,1,1,1,1
190 Ans de Creation 1828-2018 Guerlain Guerlain,1,1,1,1,0,1,1,1,0,0,1,1,1,1
1900 L'Heure De Proust Les Bains Guerbois Les Bains Guerbois,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1902 Bois Ambre Parfums Berdoues Parfums Berdoues,1,1,1,1,0,0,1,1,1,1,1,0,0,1
1902 Figue Blanche Parfums Berdoues Parfums Berdoues,1,1,1,1,0,0,1,1,0,1,1,1,1,0
1902 Orange Fizz Parfums Berdoues Parfums Berdoues,1,0,1,1,0,0,1,1,1,0,0,1,1,0
1902 Verveine Yuzu Parfums Berdoues Parfums Berdoues,1,0,0,1,0,0,1,1,1,0,0,0,0,1
1920 Agua de Cheiro Agua de Cheiro,1,0,0,1,0,0,1,1,1,0,0,1,1,1
1920 Gentleman Agua de Cheiro Agua de Cheiro,1,0,0,1,0,0,1,1,1,0,0,1,1,1
1920 The Origin Tous Tous,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1921 Gucci Gucci,1,1,1,1,0,0,1,0,0,0,1,0,0,0
1926 Turandot Puccini Absolu EdP Histoires de Parfums Histoires de Parfums,1,1,1,0,0,0,1,1,1,1,1,1,1,1
1966 Belle Southern Living Southern Living,1,0,1,1,1,0,1,1,1,1,1,1,1,0
1968 Rosendo Mateu Olfactive Expressions Rosendo Mateu Olfactive Expressions,0,1,1,1,1,0,0,1,1,1,1,1,1,1
1969 Parfum de Revolte Histoires de Parfums Histoires de Parfums,1,1,1,0,0,0,0,1,1,1,1,1,1,1
1978 Les Bains Douches Les Bains Guerbois Les Bains Guerbois,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1985 Eau de Parfum Massimo Dutti Massimo Dutti,1,1,1,1,0,0,1,1,0,1,1,1,1,0
1986 Eclectique Les Bains Guerbois Les Bains Guerbois,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1986 Xerjoff Xerjoff,1,0,1,1,0,0,1,1,0,1,0,1,1,0
1989 Theodoros Kalotinis Theodoros Kalotinis,1,1,1,0,0,0,0,0,0,0,1,1,0,0
1992 Purple Night Les Bains Guerbois Les Bains Guerbois,0,1,1,1,0,0,1,0,1,0,1,0,0,1
1er Mai Florascent Florascent,1,1,1,1,0,0,1,1,0,0,1,1,1,0
2 Astral Twin Spiritum Spiritum,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2 Jousset Parfums Jousset Parfums,0,1,1,0,0,1,0,1,0,1,1,0,0,0
2 L¡¯isola Che Non C¡¯e UERMI UERMI,1,1,1,1,0,0,1,1,1,1,1,1,1,1
2 Wood DSQUARED©÷ DSQUARED©÷,1,1,1,1,0,0,1,1,1,1,1,0,0,1
20 Iconic Masculin Clive Christian Clive Christian,1,1,1,1,1,0,1,1,1,1,1,0,0,0
200 Very Imp Men Estiara Estiara,1,1,1,1,1,0,1,1,1,1,1,0,0,1
2010 Rosendo Mateu Olfactive Expressions Rosendo Mateu Olfactive Expressions,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2013 Residence d'Artistes Les Bains Guerbois Les Bains Guerbois,1,1,1,1,0,0,1,1,1,1,1,1,1,1
2015 Le Phenix Les Bains Guerbois Les Bains Guerbois,0,1,1,0,0,0,1,1,1,1,1,0,0,1
2017 Eau de Parfum M. Asam M. Asam,1,0,1,1,0,0,1,1,1,0,1,1,1,0
"202 watermelon, redcurrant, jasmine Bon Parfumeur Bon Parfumeur",1,1,1,1,0,0,1,1,0,0,1,1,1,0
2022 Generation Homme Stephane Humbert Lucas 777 Stephane Humbert Lucas 777,1,1,1,1,1,0,1,1,1,1,1,1,0,1
"203 raspberry, vanilla, blackberry Bon Parfumeur Bon Parfumeur",1,0,1,1,0,0,1,1,1,1,1,1,1,1
2030 Verbena Crush Courreges Courreges,1,0,1,1,0,0,1,1,1,0,0,1,1,1
2060 Cedar Pulp Courreges Courreges,0,1,1,1,1,0,0,1,1,0,1,1,1,1
21 CoSTUME NATIONAL CoSTUME NATIONAL,1,1,1,1,1,0,1,1,1,1,1,1,1,1
21 Conduit St Jovoy Paris Jovoy Paris,1,1,1,1,1,1,1,1,1,1,1,1,1,1
212 Carolina Herrera Carolina Herrera,1,1,1,1,0,0,1,1,1,0,1,1,1,1
212 Heroes Carolina Herrera Carolina Herrera,1,1,1,1,0,0,1,1,1,1,1,1,1,1
212 Heroes Collector Edition Carolina Herrera Carolina Herrera,1,0,1,1,0,0,1,1,1,1,1,1,0,1
212 Heroes Forever Young Carolina Herrera Carolina Herrera,1,1,1,1,0,0,1,0,0,0,1,1,1,0
212 Ice Carolina Herrera Carolina Herrera,1,1,1,1,0,0,1,1,1,0,1,1,1,1
212 Men NYC Body Spray Carolina Herrera Carolina Herrera,1,1,1,1,0,0,1,1,0,1,1,1,1,1
212 NYC Body Spray Carolina Herrera Carolina Herrera,1,1,1,1,0,0,1,1,0,0,1,1,1,0
212 NYC Pills Carolina Herrera Carolina Herrera,1,1,1,1,0,0,1,1,0,0,1,1,1,0
212 Sexy Men Carolina Herrera Carolina Herrera,1,1,1,1,0,0,1,1,1,1,1,0,0,1
212 Shiny Silver Carolina Herrera Carolina Herrera,1,1,1,1,0,0,1,1,1,0,1,1,1,1
212 Summer Cocktail Carolina Herrera Carolina Herrera,1,1,1,1,0,1,1,1,1,0,1,1,1,1
212 VIP Black Carolina Herrera Carolina Herrera,0,0,1,0,0,1,1,1,1,1,0,1,1,1
212 VIP Black Extra Carolina Herrera Carolina Herrera,1,0,1,1,0,1,1,1,1,1,0,1,1,1
212 VIP Black NY Carolina Herrera Carolina Herrera,1,1,1,1,0,1,1,1,1,1,1,1,1,0
212 VIP Black Smiley Carolina Herrera Carolina Herrera,1,0,1,1,0,0,1,1,1,1,0,0,0,1
212 VIP Carolina Herrera Carolina Herrera,1,0,1,0,0,1,1,1,1,1,1,1,1,1
212 VIP Men Carolina Herrera Carolina Herrera,1,0,1,1,1,1,1,1,1,1,1,1,0,1
212 VIP Men Party Fever Carolina Herrera Carolina Herrera,1,1,1,1,0,0,1,1,1,1,1,1,1,1
212 VIP Men Wild Party Carolina Herrera Carolina Herrera,1,1,1,1,1,0,1,0,1,0,1,0,0,1
212 VIP Men Wins Carolina Herrera Carolina Herrera,1,0,1,1,1,0,1,1,1,1,0,1,1,1
212 VIP Party Fever Carolina Herrera Carolina Herrera,1,1,1,0,0,1,1,1,1,0,1,1,1,1
212 VIP Rose Red Carolina Herrera Carolina Herrera,1,1,1,0,0,1,1,1,1,0,1,1,1,1
212 VIP Wild Party Carolina Herrera Carolina Herrera,1,1,1,1,0,0,1,1,1,0,1,1,1,1
212 VIP Wins Carolina Herrera Carolina Herrera,1,1,1,1,0,0,1,1,1,1,1,1,1,1
212 a Summer on Ice 2003 Carolina Herrera Carolina Herrera,1,0,0,1,0,0,1,1,1,0,0,0,0,1
214 Golden Gardenia O Boticario O Boticario,1,1,1,1,1,0,1,1,1,1,1,1,1,1
214 Orquidea Tropical O Boticario O Boticario,1,1,1,0,0,0,1,1,1,1,1,1,1,1
214 Peonia & Apricot O Boticario O Boticario,1,1,1,1,0,0,1,1,1,1,1,1,1,1
214 Spicy Wood O Boticario O Boticario,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214 Tuberosa Bouquet O Boticario O Boticario,0,0,1,0,0,0,0,1,0,1,0,0,0,0
214 White Neroli O Boticario O Boticario,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.22 Les Folies Du Parfum Les Folies Du Parfum,1,1,1,1,1,0,1,1,1,1,1,1,1,1
234 Illuminum Illuminum,1,1,1,1,0,0,1,1,0,1,1,1,1,0
24 Elixir Rise Of The Superb 24 24,1,1,1,1,1,0,1,1,1,0,1,1,1,0
24 Faubourg Extrait de Parfum Hermes Hermes,0,1,1,0,0,0,0,1,1,0,1,1,1,1
24 Gold 24 24,0,1,1,0,0,0,1,1,1,1,1,1,1,0
24 Platinum 24 24,1,1,1,1,0,0,1,1,1,1,1,1,1,0
24 rue de l'Universite Yves Saint Laurent Yves Saint Laurent,0,1,1,0,0,0,1,0,1,0,1,0,0,1
24-09-11 Hilde Soliani Hilde Soliani,0,1,0,1,0,0,1,1,1,0,1,0,0,1
24/7 For Her Bench. Bench.,1,1,1,1,0,0,1,1,1,0,1,1,1,0
24K Jivago Jivago,0,1,1,0,0,0,0,1,0,1,1,0,0,0
25 Contem 1g Contem 1g,1,1,1,1,0,0,1,1,1,1,1,1,1,1
25:43 Lush Lush,1,1,1,1,0,0,1,1,0,1,1,1,1,0
27 In Macao Len Fragrances Len Fragrances,1,1,1,0,0,0,1,1,1,1,1,1,1,1
273 Indigo for Men Fred Hayman Fred Hayman,1,1,1,1,0,0,1,1,1,1,1,1,1,1
273 Red Fred Hayman Fred Hayman,1,1,1,1,0,0,1,1,1,0,1,1,0,0
2am Kiss Derek Lam 10 Crosby Derek Lam 10 Crosby,1,1,1,0,0,0,1,1,1,0,1,1,1,0
2nd Cumming CB I Hate Perfume CB I Hate Perfume,1,1,1,1,0,1,1,1,1,1,1,0,0,1
3 AM Sean John Sean John,1,1,1,1,0,0,1,1,1,1,1,1,1,1
3# nota di viaggio (ciavuru d¡¯amuri) 2019 edition Meo Fusciuni Meo Fusciuni,1,1,1,1,1,0,1,1,1,0,1,1,1,1
3# nota di viaggio (ciavuru d¡¯amuri) Meo Fusciuni Meo Fusciuni,0,1,1,0,0,0,0,0,0,0,1,1,1,1
300 Km/h Electric Avon Avon,0,1,1,0,0,0,0,1,0,1,1,0,0,0
300 Km/h Gamer Avon Avon,1,1,1,1,1,0,1,1,1,1,1,1,0,1
300 ScentBar ScentBar,0,1,1,1,1,0,1,1,1,1,1,0,0,1
301 Jasmine & Sandalwood N.C.P. Olfactives N.C.P. Olfactives,0,1,1,0,0,0,0,0,0,0,1,1,1,0
302 ¬¡¬À DREAMS ¬¡¬À DREAMS,1,1,1,1,0,0,1,1,1,0,1,1,1,0
"304 Cumin, Fleur d'Amandier, Cedre Bon Parfumeur Bon Parfumeur",0,1,1,0,0,1,0,1,0,1,1,0,0,0
31 Rue Cambon Eau de Parfum Chanel Chanel,1,1,1,1,0,0,1,1,0,0,1,1,1,1
312 Saint-Honore BDK Parfums BDK Parfums,0,1,1,1,1,0,1,1,1,1,1,1,1,1
33 Chris Rusak Chris Rusak,0,1,1,1,1,0,0,1,1,1,1,1,1,0
34 Boulevard Saint Germain Diptyque Diptyque,1,1,1,1,0,0,1,1,0,1,1,1,1,0
34 Contem 1g Contem 1g,0,1,1,1,0,0,1,1,1,1,1,1,1,0
360¡Æ Perry Ellis Perry Ellis,1,1,1,1,0,0,1,1,1,1,1,1,1,1
360¡Æ Pink Perry Ellis Perry Ellis,0,1,1,1,0,0,1,1,1,1,1,1,1,1
360¡Æ Red Perry Ellis Perry Ellis,1,0,1,0,0,0,1,1,1,0,1,1,1,1
360¡Æ Red for Men Perry Ellis Perry Ellis,1,1,1,1,0,0,1,1,1,1,1,1,1,1
4 Builder Of Future Spiritum Spiritum,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4 Saisons: Automne Guy Bouchara Guy Bouchara,1,1,1,1,0,0,1,1,1,0,1,1,1,1
4.20 PM Lush Lush,1,1,1,1,1,0,1,1,0,1,1,1,1,1
"401 cedar, candied plum, vanilla Bon Parfumeur Bon Parfumeur",1,1,1,1,0,0,1,1,1,1,1,1,0,1
420 Stoned Pastor Fragrances Pastor Fragrances,1,1,1,1,0,0,1,1,1,1,1,1,1,1
44 Gerrard Street Atkinsons Atkinsons,1,1,1,1,0,0,1,1,1,1,1,1,1,0
46th Street Gravel Gravel,0,1,1,0,0,0,1,1,1,0,1,1,1,1
46¡ÆN 08¡ÆE - Valais Richard Luscher Britos Richard Luscher Britos,0,1,1,0,0,0,0,0,0,0,1,0,0,1
4711 Acqua Colonia Coconut Water & Yuzu 4711 4711,1,0,0,1,0,0,1,0,0,0,1,1,0,0
4711 Acqua Colonia Coffee Bean & Vetyver 4711 4711,0,1,1,0,0,0,0,1,0,1,1,0,0,0
4711 Acqua Colonia Cotton & Almond 4711 4711,0,0,0,0,0,0,0,1,0,0,0,1,1,0
4711 Acqua Colonia Hazel & Tonka 4711 4711,0,1,1,0,0,1,0,1,0,1,1,0,0,0
4711 Acqua Colonia Intense Wakening Woods Of Scandinavia 4711 4711,1,1,1,1,0,0,1,1,0,1,1,1,1,0
4711 Acqua Colonia Lemon & Ginger 4711 4711,0,0,1,0,0,0,0,1,0,1,0,0,0,0
4711 Acqua Colonia Lime & Nutmeg 4711 4711,1,0,1,1,0,0,1,1,0,1,0,0,0,0
4711 Acqua Colonia Lychee & White Mint 4711 4711,1,0,0,1,1,0,0,0,1,0,1,1,0,0
4711 Acqua Colonia Mandarine & Cardamom 4711 4711,1,0,1,1,0,0,1,1,0,1,0,0,0,0
4711 Acqua Colonia Melissa & Verbena 4711 4711,1,0,0,1,0,0,1,0,0,0,0,0,0,0
4711 Acqua Colonia Myrrh & Kumquat 4711 4711,1,0,0,1,0,0,1,0,0,0,0,0,0,0
4711 Acqua Colonia Pink Pepper & Grapefruit 4711 4711,0,0,1,0,0,0,0,1,0,1,0,0,0,0
4711 Acqua Colonia Pomegranate & Eucalyptus 4711 4711,1,1,1,1,1,0,0,1,1,0,1,1,0,1
4711 Acqua Colonia Pomelo & Sea Salt 4711 4711,1,0,0,1,0,0,1,0,0,0,0,0,0,0
4711 Acqua Colonia Rhubarb & Clary Sage 4711 4711,0,0,0,1,1,0,0,0,1,0,0,0,0,0
4711 Jasmine Eau de Cologne 4711 4711,1,1,1,1,1,0,1,1,1,1,1,1,1,1
4711 Nouveau Cologne 4711 4711,1,1,1,1,0,0,1,1,1,1,1,1,1,1
4711 Original Eau de Cologne 4711 4711,1,0,0,1,1,0,1,1,1,0,0,1,1,0
4711 Remix Cologne Edition 2018 4711 4711,1,1,1,1,1,0,1,1,1,0,1,0,0,1
4711 Remix Cologne Exotic Paradise Edition 2022 4711 4711,1,1,1,1,0,0,1,1,1,0,1,1,1,1
4711 Remix Cologne Sparkling Island Edition 2023 4711 4711,1,1,1,1,0,0,1,1,1,0,1,1,1,1
4711 Remix Cologne Urban Summer 2020 4711 4711,1,1,1,1,0,0,1,1,0,0,1,1,1,1
